periode,kurs,jub,inflasi,ihsg,bi_rate
2010-01-31,9350,2066480.99,3.72 ,2610.80,6.50
2010-02-28,9337,2112082.70,3.81 ,2549.03,6.50
2010-03-31,9090,2116023.54,3.43 ,2777.30,6.50
2010-04-30,9012,2143234.05,3.91 ,2971.25,6.50
2010-05-31,9175,2231144.33,4.16 ,2796.96,6.50
2010-06-30,9060,2217588.81,5.05 ,2913.68,6.50
2010-07-31,8940,2236459.45,6.22 ,3069.28,6.50
2010-08-31,9035,2274954.57,6.44 ,3081.88,6.50
2010-09-30,8925,2308845.97,5.80,3501.30,6.50
2010-10-31,8935,2347806.86,5.67 ,3635.32,6.50
2010-11-30,9029,2471205.79,6.33 ,3531.21,6.50
2010-12-31,9005,2877219.57,6.96 ,3703.51,6.50
2011-01-31,9043,2436678.95,7.02 ,3409.17,6.50
2011-02-28,8818,2420191.14,6.84 ,3470.35,6.75
2011-03-31,8705,2451356.92,6.65 ,3678.67,6.75
2011-04-30,8563,2434478.39,6.16 ,3819.62,6.75
2011-05-31,8532,2475285.98,5.98 ,3836.97,6.75
2011-06-30,8573,2522783.81,5.54 ,3888.57,6.75
2011-07-31,8495,2564556.13,4.61 ,4130.80,6.75
2011-08-31,8528,2621345.74,4.79 ,3841.73,6.75
2011-09-30,8780,2643331.45,4.61 ,3549.03,6.75
2011-10-31,8850,2677205.02,4.42 ,3790.85,6.50
2011-11-30,9105,2729538.27,4.15 ,3715.08,6.00
2011-12-31,9060,2877219.57,3.79 ,3821.99,6.00
2012-01-31,8980,2854978.21,3.65 ,3941.69,6.00
2012-02-29,9010,2849795.50,3.56 ,3985.21,5.75
2012-03-31,9139,2911919.94,3.97 ,4121.55,5.75
2012-04-30,9188,2927259.39,4.50,4180.73,5.75
2012-05-31,9390,2992057.03,4.45 ,3832.82,5.75
2012-06-30,9385,3050354.88,4.53 ,3955.58,5.75
2012-07-31,9440,3054836.46,4.56 ,4142.34,5.75
2012-08-31,9530,3089011.20,4.58 ,4060.33,5.75
2012-09-30,9565,3125533.38,4.31 ,4262.56,5.75
2012-10-31,9600,3161725.60,4.61 ,4350.29,5.75
2012-11-30,9588,3205129.12,4.32 ,4276.14,5.75
2012-12-31,9630,3304644.62,4.30,4316.69,5.75
